verbe;
rejoindre;1
développer;1
mettre;1
obliger;-1
inciter;1
valoriser;1
renchérir;1
proposer;1
arrenter;0
réduire;-1
augmenter;1
améliorer;1
prendre;-1
acquérir;-1
multiplier;1
voir;0
changer;0
retrouver;1
promouvoir;1
informer;0
faire;0
aider;1
favoriser;1
rééquilibrer;1
trouver;0
déployer;1
diminuer;-1
éteindre;-1
éliminer;-1
faciliter;1
rendre;1
baisser;-1
garantir;0
arrêter;-1
laisser;0
éviter;-1
brider;-1
ériger;1
encourager;1
rappeler;0
gagner;1
conforter;1
autoriser;1
contraindre;-1
résoudre;1
supprimer;-1
donner;1
dépasser;1
unifier;1
comparer;0
créer;1
acheter;1
interdire;-1
renvoyer;-1
représenter;0
signer;0
simplifier;-1
payer;1
instaurer;1
demander;0
passer;0
taxer;-1
reconnaître;0
remplacer;0
permettre;1
modifier;0
susciter;1
obtenir;1
dimensionner;0
revoir;0
déclarer;0
indexer;0
engager;1
démocratiser;1
soutenir;1
pratiquer;0
entraîner;0
rémunérer;1
remettre;1
signifier;0
manger;0
oublier;-1
calculer;0
limiter;-1
partager;1
financer;1
emprunter;-1
fiscaliser;0
effectuer;0
imposer;-1
supporter;-1
appliquer;0
offrir;1
réorienter;0
adapter;0
devenir;0
assouplir;-1
orienter;0
poursuivre;1
jeter;-1
prélever;-1
ouvrir;0
consigner;0
intensifier;1
stabiliser;0
contribuer;1
durer;0
répondre;0
renverser;-1
reprendre;-1
vendre;0
préserver;0
déduire;-1
généraliser;1
tenir;0
chauffer;0
consommer;-1
concerner;0
aligner;0
montrer;0
allouer;1
évoluer;1
subventionner;1
profiter;1
présenter;0
entretenir;0
ajouter;1
cultiver;1
baiser;0
tirer;0
récompenser;1
concevoir;0
accroître;1
rembourser;1
inventer;1
recycler;0
pénaliser;-1
rétablir;1
polluer;-1
tendre;0
sanctionner;-1
interpeller;-1
recuire;0
disposer;1
suivre;0
raisonner;0
voiler;0
introduire;1
exporter;1
regrouper;1
planifier;0
compléter;0
isoler;-1
intervenir;0
taire;-1
respecter;0
assurer;1
définir;0
évoquer;0
continuer;1
descendre;-1
perdre;-1
construire;1
composter;1
investir;1
monter;1
attendre;0
sensibiliser;0
cesser;-1
envisager;0
impliquer;1
redonner;1
lancer;0
percuter;-1
produire;1
forcer;-1
durcir;-1
privilégier;1
recevoir;1
organiser;0
fabriquer;1
préférer;1
repartir;0
identifier;0
fonctionner;0
porter;0
cautionner;1
maintenir;0
utiliser;0
abandonner;-1
envoyer;0
apporter;1
accepter;1
ôter;-1
libérer;1
refuser;-1
commercialiser;1
détaxer;-1
connaître;0
abaisser;-1
encadrer;0
fermer;-1
varier;0
régler;0
établir;1
redévelopper;1
nécessiter;0
servir;0
instruire;0
installer;1
garder;0
retirer;-1
accorer;0
renouveler;1
boycotter;-1
élever;1
réaliser;1
diffuser;1
lire;0
bannir;-1
transformer;0
aller;0
comprendre;0
aménager;0
générer;1
préparer;1
inclure;1
commencer;1
prévoir;0
muer;0
éradiquer;-1
excepter;0
renforcer;1
terminer;0
restaurer;0
équiper;1
réguler;0
associer;0
accélérer;1
facturer;0
émettre;0
rénover;0
biter;0
désindexer;-1
accompagner;0
relancer;0
désenclaver;-1
rester;0
octroyer;0
conditionner;0
moduler;0
coûter;0
inviter;0
jouer;0
participer;0
convaincre;0
recolaliser;0
vouloir;0
défaire;-1
poser;0
sécuriser;1
empocher;1
insister;0
décourager;-1
pouvoir;0
alimenter;1
indiquer;0
labourer;0
annuler;-1
préciser;0
former;0
influencer;1
écrire;0
récupérer;0
devoir;0
virer;0
dire;0
articuler;0
débloquer;1
centraliser;0
guiper;0
être;0
comporter;0
verser;0
endosser;0
reconsidérer;0
venir;0
motiver;0
posséder;0
attribuer;1
régir;0
admirer;0
mesurer;0
protéger;0
cacher;-1
stigmatiser;-1
évaluer;0
culpabiliser;0
satisfaire;1
induire;0
gonfler;1
adopter;1
considérer;0
voyager;0
penser;0
réaménager;0
éduquer;0
ramener;0
comptabiliser;0
aimer;0
trier;0
entraider;0
avancer;1
rechercher;0
vivre;0
relever;1
traiter;0
dépendre;0
réprimer;-1
responsabiliser;0
allonger;0
choisir;0
harmoniser;1
bénéficier;0
ponctionner;-1
rationaliser;0
contrôler;0
accentuer;1
relier;0
atteindre;0
pietonniser;1
alléger;-1
réorganiser;0
pérenniser;0
insuffler;1
consacrer;0
libéraliser;0
exiger;1
mériter;0
reporter;0
engendrer;0
toucher;0
réinvestir;1
clarifier;0
cuisiner;0
débrancher;-1
tuer;-1
revendre;0
punir;-1
recréer;0
réglementer;0
valoir;0
parcourir;0
provoquer;0
peser;0
prolonger;0
repenser;0
surtaxer;-1
relire;0
apprendre;0
rédiger;0
gaspiller;-1
concilier;0
dissuader;-1
décider;0
revaloriser;0
fixer;0
fuir;-1
tabler;0
disparaître;-1
remonter;0
conserver;0
inverser;-1
mutualiser;1
attaquer;-1
maximiser;1
analyser;0
refléter;0
pousser;1
primer;0
concentrer;0
dégager;-1
confier;0
